atr42s1g00971,nc476s13g00685,ive10g02166,agr8s11g00652,spo4s8g00476,abr7s1g00070,da480s2g00912,ase9s8g01364,elg3s4g01414,aco40s3g00166,cs471s13g01524,afi49s4g02920,lc2s3g00020,cm170s12g00495,CdeChr20g00280,vvi161s16g00987,gbi44s5g00093,sgi44s5g02802,afi61s11g00054,,
atr42s5g01434,nc476s3g01310,ive12g01030,agr8s10g00124,spo4s8g00243,abr7s6g00448,da480s12g00505,ase9s5g01543,,aco40s16g00559,cs471s9g00106,afi49s1g00222,lc2s6g00386,cm170s1g00780,CdeChr35g00117,,,sgi44s2g02567,afi61s207g00002,smo62s60g00192,ppa60s26g00403
atr42s1g00490,nc476s1g03470,ive12g01799,,spo4s16g00346,abr7s6g00476,da480s10g00370,ase9s2g03058,,aco40s17g00512,cs471s10g01555,afi49s4g01195,lc2s9g00868,cm170s9g00421,CdeChr30g00448,vvi161s8g01391,gbi44s10g01788,sgi44s9g02466,afi61s37g00027,smo62s121g00059,ppa60s17g01000
,nc476s7g01239,,agr8s8g00983,spo4s4g00335,abr7s6g00496,da480s10g00021,ase9s10g01149,elg3s9g00023,aco40s17g00748,cs471s6g01068,afi49s4g01854,lc2s5g00355,cm170s1g00291,CdeChr21g00450,vvi161s11g00002,,,,,
atr42s2g02591,nc476s3g02246,ive5g02296,agr8s9g01511,spo4s7g00266,abr7s6g00739,da480s8g01399,ase9s6g00488,,,cs471s1g00058,afi49s6g00624,lc2s13g00342,cm170s1g01360,CdeChr23g00088,vvi161s3g00820,gbi44s12g01357,sgi44s10g02352,afi61s118g00012,smo62s88g00005,ppa60s5g00612
atr42s2g01605,nc476s11g00294,ive1g02717,agr8s4g01334,spo4s5g00165,abr7s6g00745,da480s15g01000,ase9s6g00495,,aco40s4g00476,cs471s10g01442,afi49s7g00361,lc2s1g00481,cm170s1g01221,,vvi161s18g02011,,,,,
atr42s2g00572,,ive1g02737,agr8s4g01321,spo4s5g00087,abr7s6g00760,da480s15g01008,ase9s6g00505,,aco40s7g00814,cs471s3g02314,afi49s7g00345,lc2s1g00492,cm170s1g01137,CdeChr25g00262,vvi161s12g00333,gbi44s1g02452,sgi44s11g00342,afi61s558g00001,smo62s15g00076,ppa60s27g00183
,nc476s1g02039,ive12g01063,agr8s2g00279,spo4s12g00092,abr7s6g00904,da480s15g00970,ase9s6g01349,elg3s6g00018,aco40s7g00438,cs471s10g01374,afi49s1g00235,lc2s1g02117,cm170s2g02421,,vvi161s4g00035,,,,,
atr42s3g02780,nc476s1g01425,ive14g01044,agr8s8g00151,spo4s3g00145,abr7s6g01011,da480s15g00687,ase9s6g01976,elg3s1g01588,,cs471s13g00074,afi49s2g00313,lc2s11g00990,cm170s4g00658,CdeChr4g00137,,gbi44s6g01598,sgi44s7g01069,afi61s3g00329,smo62s95g00038,ppa60s6g00891
atr42s12g01468,nc476s4g00632,ive6g00787,agr8s6g00080,spo4s9g00689,abr7s6g01274,da480s8g00187,,elg3s1g01824,aco40s7g00139,cs471s1g00437,afi49s7g01723,,cm170s2g02740,CdeChr23g00106,vvi161s3g00749,,,,,
atr42s10g00491,nc476s7g00543,ive11g01474,agr8s9g00973,,abr7s6g01449,da480s15g00057,,elg3s1g01590,aco40s9g00008,cs471s2g00204,afi49s7g00268,lc2s16g00226,cm170s1g01032,CdeChr23g00302,vvi161s14g00969,gbi44s1g01353,sgi44s11g01385,afi61s6g00244,smo62s165g00012,
atr42s10g01511,nc476s7g01520,ive11g01519,agr8s7g01287,spo4s9g00796,abr7s6g01471,da480s15g00013,ase9s9g01457,,aco40s14g00535,cs471s2g00298,afi49s5g00255,lc2s16g00114,cm170s1g02050,,vvi161s12g00742,gbi44s5g01411,sgi44s4g03174,afi61s95g00027,smo62s18g00040,ppa60s21g00611
atr42s12g00030,nc476s3g00562,,agr8s7g01393,spo4s18g00562,abr7s7g00001,da480s18g00733,ase9s2g00372,elg3s13g00589,aco40s1g00194,cs471s3g01270,afi49s6g00728,lc2s7g00009,cm170s11g01334,CdeChr11g00601,,gbi44s8g01340,sgi44s4g01675,afi61s11g00013,smo62s8g00061,ppa60s21g00330
atr42s4g00228,nc476s4g00922,,,spo4s1g01146,abr7s7g00066,da480s5g02027,ase9s6g00642,elg3s15g00584,aco40s15g00333,cs471s1g02904,afi49s1g04363,lc2s7g00199,cm170s11g01486,CdeChr39g00717,vvi161s8g01197,gbi44s8g02225,sgi44s11g00361,afi61s84g00054,smo62s25g00089,ppa60s6g01263
atr42s3g00307,nc476s10g00754,,agr8s12g00345,,abr7s7g00071,da480s5g02032,ase9s6g00636,elg3s15g00589,aco40s12g00408,cs471s3g02386,afi49s7g00025,lc2s1g02157,cm170s2g02453,CdeChr29g00131,vvi161s1g00096,gbi44s1g01291,sgi44s7g01674,afi61s232g00016,smo62s58g00190,ppa60s7g00218
atr42s5g01279,nc476s1g02029,ive3g01258,,,abr7s7g00101,da480s5g00763,ase9s9g00771,elg3s3g00027,aco40s5g00029,cs471s7g01493,afi49s1g04188,lc2s6g00802,cm170s2g02223,CdeChr35g00504,vvi161s11g00493,gbi44s11g00669,sgi44s2g01279,afi61s96g00011,smo62s86g00038,ppa60s1g00678
atr42s1g00552,nc476s1g03431,,agr8s11g00349,spo4s13g00360,abr7s7g00246,da480s17g00243,ase9s3g00608,,aco40s5g00127,cs471s10g01444,afi49s1g00237,lc2s1g02115,cm170s2g02420,CdeChr2g00374,vvi161s11g00231,gbi44s2g01089,sgi44s11g00583,afi61s128g00019,,
atr42s1g01505,nc476s1g03221,ive9g01879,agr8s11g00374,,abr7s7g00372,da480s17g00398,ase9s9g01007,elg3s3g00326,aco40s5g00218,cs471s13g01080,afi49s5g00425,lc2s15g01287,cm170s7g01171,CdeChr20g00200,,,,,,
atr42s5g00033,nc476s1g02374,ive12g00557,agr8s11g00614,spo4s13g00434,abr7s7g00498,da480s5g01229,ase9s3g00116,elg3s7g00380,,cs471s10g01466,afi49s1g00595,lc2s1g01842,cm170s4g01575,,vvi161s4g00344,,sgi44s10g02281,afi61s630g00002,smo62s14g00353,ppa60s15g00131
atr42s5g00030,nc476s1g02376,ive12g00560,agr8s2g01238,spo4s8g00424,abr7s7g00501,da480s17g00811,,elg3s3g00542,aco40s10g00355,cs471s7g01635,afi49s1g00592,lc2s6g00680,cm170s1g01574,,vvi161s11g00384,gbi44s1g00464,,afi61s47g00016,smo62s35g00080,ppa60s5g00170
atr42s1g00966,nc476s1g00850,ive9g02011,,spo4s8g00475,abr7s7g00543,da480s5g01197,ase9s5g01662,elg3s6g00908,aco40s11g00492,cs471s13g01521,afi49s4g02844,lc2s15g01656,,CdeChr7g00636,vvi161s19g00124,gbi44s5g00084,,,,ppa60s6g00760
atr42s3g01239,nc476s13g00672,,agr8s6g01654,spo4s8g00482,abr7s7g00549,da480s17g00735,ase9s4g01351,elg3s7g00334,aco40s10g00328,cs471s13g01501,afi49s4g01812,lc2s5g00316,cm170s1g02623,,vvi161s2g00076,gbi44s5g00024,,afi61s92g00095,smo62s51g00002,ppa60s9g00574
,nc476s11g01664,ive1g00921,agr8s4g00091,spo4s13g00584,abr7s7g00634,da480s17g01190,ase9s3g00932,elg3s13g00265,aco40s6g00141,cs471s1g01148,afi49s3g01383,lc2s2g00098,,CdeChr17g00170,vvi161s14g01434,,,,,
atr42s12g00352,nc476s2g00370,,agr8s4g00427,spo4s8g01121,abr7s7g00873,da480s17g00864,ase9s3g01512,elg3s1g00937,aco40s16g00086,cs471s13g00341,afi49s3g02092,,cm170s1g00411,CdeChr21g00554,vvi161s1g00361,gbi44s8g00799,,afi61s178g00009,smo62s48g00018,ppa60s12g00268
atr42s4g00031,nc476s10g00155,ive10g01417,agr8s3g00321,spo4s8g00902,abr7s7g00998,da480s17g01034,ase9s3g01098,elg3s13g00401,aco40s12g00633,,afi49s3g01642,lc2s6g00878,cm170s10g00871,CdeChr28g00070,,,,,,
atr42s4g02708,nc476s8g00686,ive2g02041,agr8s2g01513,,abr7s7g01002,da480s10g00719,,elg3s2g00918,aco40s21g00294,cs471s11g01329,afi49s7g01936,lc2s4g02268,cm170s4g00482,CdeChr40g00581,vvi161s1g00964,gbi44s8g00359,sgi44s8g01374,afi61s72g00005,smo62s45g00243,ppa60s11g00951
atr42s1g02263,nc476s2g01345,,agr8s6g01435,,abr7s7g01028,da480s8g00354,ase9s2g02204,elg3s3g00652,aco40s10g00453,cs471s8g01513,afi49s4g02316,lc2s3g00189,cm170s7g01588,CdeChr38g00513,vvi161s19g00205,gbi44s1g00003,sgi44s2g00929,afi61s159g00022,smo62s7g00162,ppa60s4g01379
atr42s9g00429,nc476s2g00220,ive1g00985,agr8s3g00238,spo4s19g00186,abr7s7g01058,da480s5g01472,ase9s9g00351,elg3s15g00710,aco40s10g00728,cs471s1g01119,afi49s3g01408,,cm170s4g02370,CdeChr5g00136,,gbi44s7g01540,,,smo62s61g00096,ppa60s9g00658
atr42s2g02982,nc476s10g01346,ive11g00192,agr8s1g00074,spo4s6g00043,abr7s13g00058,da480s7g00063,ase9s2g02789,,aco40s4g00034,cs471s7g00082,afi49s1g04461,lc2s9g00068,,CdeChr21g00622,vvi161s5g00242,gbi44s10g01119,sgi44s6g01529,afi61s90g00026,smo62s34g00033,ppa60s2g00343
atr42s3g01733,nc476s5g01626,,agr8s3g00974,spo4s1g00864,abr7s13g00197,da480s19g01651,ase9s3g03356,elg3s5g00846,aco40s13g00419,cs471s4g00580,afi49s2g00830,lc2s11g01283,cm170s6g01172,CdeChr25g00361,,gbi44s10g01707,sgi44s9g02720,,,
atr42s8g01372,nc476s7g01548,,,spo4s6g00170,abr7s13g00205,da480s7g00430,ase9s2g02501,elg3s14g00767,aco40s4g00644,cs471s6g02202,afi49s2g02138,lc2s4g01150,cm170s4g00259,CdeChr6g00470,vvi161s8g00706,,,,,
atr42s3g02802,nc476s6g00965,ive5g02215,,spo4s11g00820,abr7s13g00504,da480s7g00668,ase9s2g02402,elg3s5g00751,aco40s18g00194,cs471s6g01077,afi49s5g02134,lc2s11g01030,cm170s7g01301,CdeChr31g00435,,gbi44s3g02377,sgi44s10g00083,,,ppa60s10g00647
atr42s1g00313,nc476s9g00678,ive12g01499,agr8s1g00645,spo4s1g00604,abr7s13g00541,da480s7g00758,ase9s5g00045,,aco40s4g00674,cs471s1g01541,,lc2s15g00219,cm170s1g02984,CdeChr16g00457,vvi161s1g01030,gbi44s11g00144,sgi44s2g00766,afi61s299g00008,smo62s156g00023,
atr42s8g00038,nc476s1g03154,ive2g01668,agr8s11g00005,,abr7s13g00638,da480s12g00572,ase9s5g00774,,aco40s18g00434,cs471s6g02419,afi49s5g00228,lc2s6g01218,cm170s11g00549,CdeChr3g00031,vvi161s14g00850,gbi44s1g02443,sgi44s11g01758,afi61s45g00080,smo62s48g00075,ppa60s19g00928
atr42s8g01899,nc476s2g01353,ive2g01999,agr8s11g00121,spo4s1g00401,abr7s13g00691,da480s19g01184,ase9s7g01099,,aco40s23g00194,cs471s6g02587,,lc2s6g01541,cm170s3g02859,CdeChr29g00333,vvi161s13g00158,gbi44s4g00215,sgi44s3g03440,afi61s3542g00001,smo62s60g00185,
,nc476s5g00944,ive2g02186,agr8s8g01854,spo4s1g00081,abr7s13g00768,da480s7g01129,,elg3s5g00246,aco40s18g00530,cs471s6g02714,afi49s2g01821,lc2s6g01120,cm170s3g03056,CdeChr7g00493,vvi161s8g00255,,,,,
atr42s10g01992,nc476s8g01258,,agr8s8g00686,spo4s1g00194,abr7s13g00843,da480s7g01204,ase9s2g03641,elg3s14g00104,aco40s4g00947,cs471s6g02245,afi49s3g00216,lc2s1g00468,,CdeChr41g00204,vvi161s13g00257,gbi44s8g00317,sgi44s7g00703,afi61s157g00028,smo62s20g00106,ppa60s12g00648
atr42s1g02469,nc476s11g00110,ive12g01523,agr8s6g02296,spo4s12g00587,abr7s13g01030,da480s9g00021,ase9s5g03392,elg3s2g01420,aco40s14g00172,cs471s6g01823,afi49s3g00859,lc2s17g01195,,CdeChr17g00035,,gbi44s8g01856,sgi44s4g01214,afi61s17g00102,smo62s5g00394,ppa60s23g00616
atr42s5g01788,nc476s1g02525,ive3g01104,agr8s12g00601,spo4s5g00575,abr7s15g00189,da480s17g00162,ase9s3g00497,elg3s3g00105,,cs471s7g00983,afi49s1g03801,lc2s1g01573,cm170s2g02317,,vvi161s11g00413,gbi44s3g00374,sgi44s6g00102,afi61s18g00086,smo62s49g00002,ppa60s9g00039
atr42s5g00361,nc476s1g02157,ive12g00898,agr8s2g01025,spo4s8g00318,abr7s15g00269,da480s20g00435,ase9s3g00367,elg3s7g00169,aco40s12g00264,cs471s9g00198,afi49s1g01047,lc2s6g00482,,,vvi161s9g00221,gbi44s11g01726,sgi44s11g01954,,,ppa60s9g01068
atr42s1g01922,nc476s9g00084,ive10g01718,agr8s6g01389,spo4s8g00670,abr7s15g00398,da480s17g00505,ase9s2g02294,elg3s3g00620,aco40s10g00423,cs471s2g00344,afi49s4g02748,,cm170s3g01923,CdeChr37g00062,,,,,,
atr42s8g00024,,ive2g03370,agr8s7g00004,spo4s19g00050,abr7s15g00472,da480s5g01213,ase9s9g01125,elg3s3g00525,aco40s10g00339,cs471s2g01838,afi49s2g02344,lc2s18g00002,cm170s7g00205,,vvi161s6g00640,,,,,
atr42s1g01380,nc476s2g02053,ive9g02032,agr8s6g01700,,abr7s15g00476,da480s17g00762,ase9s3g00149,elg3s7g00361,aco40s12g00335,cs471s8g01738,afi49s4g00002,lc2s15g01717,,CdeChr37g00001,vvi161s15g00991,gbi44s1g02388,,afi61s293g00020,smo62s62g00050,ppa60s20g00985
atr42s13g00732,nc476s6g00983,ive11g02108,agr8s4g00325,spo4s19g00295,abr7s15g00803,da480s17g00937,ase9s3g01202,elg3s3g00878,aco40s10g00584,cs471s13g00254,,lc2s2g00293,cm170s5g01556,CdeChr40g00449,,gbi44s8g01424,sgi44s4g00352,afi61s6g00427,smo62s53g00160,ppa60s1g00129
atr42s4g00053,nc476s10g00397,ive1g02609,agr8s1g00415,spo4s13g00598,abr7s15g00839,da480s17g01025,ase9s3g03038,elg3s15g00622,aco40s12g00635,,afi49s3g01662,lc2s6g00865,cm170s10g00879,,vvi161s7g00365,gbi44s7g01662,sgi44s11g00943,afi61s93g00006,smo62s14g00361,ppa60s16g00813
atr42s5g01907,nc476s6g00200,,agr8s12g00691,spo4s13g00603,abr7s15g00847,da480s5g01379,ase9s3g01118,,aco40s5g00993,cs471s7g00930,afi49s6g00079,lc2s1g01042,cm170s12g00903,CdeChr28g00049,vvi161s17g00644,gbi44s4g00428,,,,
atr42s4g00042,nc476s8g01584,ive9g01254,agr8s4g00205,spo4s5g00220,abr7s15g00850,da480s17g01030,ase9s9g00445,elg3s13g00409,aco40s5g01002,cs471s1g00977,afi49s3g01654,lc2s2g00172,,,vvi161s1g00447,gbi44s3g02426,,afi61s5g00198,smo62s82g00037,ppa60s19g00923
atr42s9g00320,nc476s2g01589,ive2g03178,agr8s7g02225,spo4s4g00627,abr7s15g00894,da480s14g00650,ase9s9g00811,elg3s3g00078,aco40s10g00046,cs471s12g00261,afi49s6g01457,,cm170s8g00668,,vvi161s10g01375,gbi44s7g00852,sgi44s11g01068,afi61s358g00005,smo62s16g00066,ppa60s2g01244
atr42s10g00846,nc476s1g03581,,agr8s8g00881,spo4s12g00047,abr7s16g00296,da480s4g00067,ase9s7g00076,elg3s2g01221,aco40s2g00803,,afi49s7g01026,lc2s13g00693,cm170s2g02340,CdeChr32g00350,vvi161s10g00156,gbi44s6g00733,sgi44s3g00620,afi61s279g00010,smo62s85g00090,ppa60s23g00311
atr42s10g01523,nc476s3g01317,ive11g01154,agr8s7g01859,,abr7s16g00357,da480s3g00555,,elg3s2g01240,aco40s6g00617,cs471s7g01170,afi49s3g01404,lc2s17g00582,cm170s2g01917,CdeChr11g00309,vvi161s17g00864,gbi44s7g00592,sgi44s1g03399,afi61s117g00019,smo62s67g00046,ppa60s17g00533
atr42s12g01627,nc476s4g00762,,agr8s6g02016,spo4s15g00104,abr7s16g00480,da480s8g01081,ase9s5g01536,,aco40s2g00180,cs471s14g00436,afi49s1g00372,lc2s14g00977,cm170s8g01326,CdeChr34g00369,vvi161s11g00756,,sgi44s5g01802,afi61s93g00058,smo62s3g00308,ppa60s8g00132
atr42s12g01661,,ive1g01529,agr8s6g02029,spo4s15g00100,abr7s16g00488,da480s8g01074,ase9s3g01704,,aco40s22g00067,cs471s6g02057,afi49s1g00397,lc2s17g00895,cm170s9g00352,CdeChr16g00235,vvi161s4g00681,gbi44s8g00773,sgi44s5g01118,afi61s270g00012,smo62s38g00152,ppa60s22g00143
atr42s12g01699,nc476s3g02290,ive6g00684,agr8s6g02075,spo4s12g00448,abr7s16g00515,da480s3g00207,,elg3s2g01548,aco40s2g00144,cs471s6g02022,afi49s1g00346,lc2s14g01032,,CdeChr12g00317,vvi161s4g00709,gbi44s2g00149,sgi44s5g00260,afi61s58g00018,smo62s14g00283,ppa60s21g00240
atr42s12g01696,nc476s9g01129,ive1g01119,agr8s6g02070,spo4s11g00105,abr7s16g00516,da480s3g00212,,elg3s2g01544,aco40s2g00146,,afi49s1g00447,lc2s14g01022,cm170s8g01457,CdeChr4g00030,vvi161s4g00705,,,,,
atr42s12g01889,nc476s3g02003,ive4g01140,agr8s3g01914,spo4s12g00492,abr7s16g00557,da480s19g00092,,elg3s2g01977,aco40s6g00241,cs471s5g00872,afi49s1g00459,lc2s17g01041,cm170s2g00115,,vvi161s10g00491,gbi44s11g01593,sgi44s5g01482,afi61s74g00042,smo62s11g00369,ppa60s19g00760
,nc476s3g01087,ive4g01012,agr8s3g01982,spo4s11g00027,abr7s16g00618,da480s8g00916,ase9s3g02727,elg3s8g01165,aco40s2g00054,cs471s6g01880,afi49s3g00777,lc2s17g01151,cm170s2g00035,,vvi161s11g01060,,,,,
atr42s12g02064,nc476s3g01088,ive4g01015,agr8s6g02250,spo4s12g00556,abr7s16g00621,da480s8g00913,ase9s5g02266,elg3s7g01133,aco40s2g00049,cs471s5g00654,afi49s3g00780,lc2s17g01154,,,vvi161s4g00801,gbi44s7g01827,sgi44s3g00594,afi61s154g00026,,
atr42s4g02462,nc476s9g01316,,agr8s1g01997,spo4s18g00052,abr7s19g00093,da480s5g02156,ase9s6g01843,elg3s13g00697,,cs471s11g01226,afi49s5g02264,lc2s2g02063,cm170s9g01496,CdeChr20g00639,vvi161s15g00636,gbi44s6g01847,sgi44s6g01733,afi61s92g00004,,ppa60s23g00666
,nc476s8g01004,ive9g00824,agr8s1g02055,spo4s18g00146,abr7s19g00177,,ase9s6g01679,elg3s15g00376,aco40s20g00453,cs471s3g00268,afi49s3g03035,lc2s2g01900,cm170s9g00866,CdeChr17g00560,vvi161s7g01376,,,,,
,nc476s10g01296,ive10g00712,agr8s4g01809,spo4s7g00929,abr7s19g00192,da480s18g00195,ase9s6g01392,,aco40s2g00576,cs471s11g01005,afi49s3g02291,lc2s2g01872,cm170s9g00890,CdeChr17g00517,vvi161s18g00558,,,,,
atr42s4g01692,nc476s10g00606,ive10g00801,agr8s4g02125,spo4s3g00418,abr7s19g00274,da480s6g00673,,,aco40s6g00424,cs471s3g00865,afi49s3g02476,lc2s4g01825,cm170s8g00227,CdeChr1g00314,vvi161s3g00527,gbi44s12g01360,sgi44s1g00485,afi61s1g00054,smo62s54g00056,ppa60s8g00748
atr42s4g01681,nc476s10g00616,,agr8s4g02115,spo4s4g00149,abr7s19g00283,da480s6g00669,,elg3s15g00136,aco40s6g00421,cs471s3g00900,afi49s3g02465,lc2s2g01728,cm170s8g00229,CdeChr8g00435,vvi161s18g00660,,sgi44s11g00987,afi61s104g00105,smo62s9g00243,ppa60s6g00350
,nc476s1g02811,ive5g01695,agr8s4g00636,spo4s17g00177,abr7s19g00377,da480s19g01661,ase9s7g00113,,aco40s23g00349,cs471s6g00006,afi49s2g02493,lc2s1g00253,cm170s4g02036,CdeChr17g00146,vvi161s10g00047,,,,,
,nc476s10g00136,ive10g01306,agr8s1g02481,spo4s18g00470,abr7s19g00477,da480s18g00881,ase9s9g00207,elg3s3g01289,aco40s2g00420,cs471s3g02064,afi49s1g02594,lc2s7g00149,cm170s1g03362,,vvi161s4g00161,,,,,
atr42s12g00181,nc476s11g01048,,agr8s4g02356,spo4s18g00513,abr7s19g00517,da480s18g00057,ase9s6g00721,elg3s13g00558,aco40s15g00290,cs471s3g02181,afi49s5g00478,lc2s7g00057,cm170s11g01366,,vvi161s9g00054,gbi44s6g01820,sgi44s10g03108,,smo62s8g00533,ppa60s1g00014
atr42s1g02286,nc476s9g00126,ive3g00631,agr8s1g01135,,abr7s17g00167,da480s19g01298,ase9s4g00767,elg3s10g00268,aco40s23g00336,,afi49s4g02440,lc2s10g00606,cm170s10g00641,CdeChr26g00406,vvi161s8g01384,,,,,
atr42s13g02137,nc476s3g02196,ive10g00096,agr8s1g01002,spo4s1g00994,abr7s17g00186,da480s19g01712,ase9s4g00747,,aco40s23g00324,cs471s7g02100,afi49s5g01764,lc2s5g01037,cm170s1g02889,CdeChr41g00208,,gbi44s12g01805,sgi44s1g00400,afi61s3252g00001,smo62s23g00081,ppa60s14g00146
atr42s6g00388,nc476s7g01277,,agr8s8g01026,spo4s18g00132,abr7s17g00209,da480s5g01769,ase9s10g01100,,aco40s21g00030,cs471s1g03284,afi49s4g01740,lc2s5g00277,cm170s1g02596,CdeChr30g00274,vvi161s1g01366,,,,,
atr42s8g01575,nc476s5g00811,ive2g02161,,spo4s1g00033,abr7s17g00427,da480s9g00643,ase9s7g01032,elg3s5g01191,,cs471s6g02634,afi49s5g02083,lc2s6g01572,cm170s3g02928,CdeChr40g00242,vvi161s6g00714,gbi44s12g01377,sgi44s1g00591,afi61s96g00021,smo62s74g00052,ppa60s25g00220
atr42s2g00251,nc476s14g00242,ive5g02414,agr8s4g00791,spo4s17g00473,abr7s17g00643,da480s19g01424,ase9s9g00019,,aco40s14g00096,,afi49s7g00688,lc2s1g00990,cm170s5g01786,CdeChr34g00326,vvi161s19g01011,gbi44s10g00956,,afi61s208g00016,,
atr42s2g00333,nc476s14g00302,ive6g01818,agr8s4g01250,spo4s17g00387,abr7s17g00681,da480s6g00399,ase9s1g03236,,aco40s19g00467,cs471s6g00512,afi49s7g00601,lc2s19g00849,,CdeChr17g00130,vvi161s1g00145,,,,,
atr42s5g01135,nc476s11g00403,ive6g01882,agr8s1g01766,spo4s17g00325,abr7s17g00705,da480s19g01494,ase9s1g03284,,aco40s14g00130,cs471s6g00578,afi49s7g00045,lc2s19g00817,cm170s7g00516,CdeChr17g00111,,gbi44s6g01422,sgi44s7g01443,afi61s6g00283,smo62s7g00521,ppa60s6g00700
atr42s2g00672,nc476s11g01547,ive3g01933,agr8s10g00198,spo4s5g00061,abr7s17g00739,da480s9g00315,ase9s1g03373,,aco40s19g00555,cs471s6g00053,afi49s2g02443,lc2s19g00594,cm170s7g00416,CdeChr35g00112,,gbi44s5g01162,sgi44s4g02721,afi61s114g00059,smo62s87g00036,ppa60s9g00294
atr42s2g02176,,ive4g00303,agr8s1g00180,,abr7s17g00929,da480s6g00048,ase9s4g00447,elg3s2g01905,aco40s23g00416,cs471s15g00366,afi49s1g02250,lc2s10g00159,cm170s11g00736,CdeChr3g00087,vvi161s5g00178,gbi44s8g00789,sgi44s7g01963,,smo62s64g00127,ppa60s17g00706
atr42s2g02179,nc476s10g01446,ive4g00302,,spo4s6g00587,abr7s17g00930,da480s6g00049,,elg3s2g01906,aco40s13g00587,cs471s15g00368,afi49s1g02247,lc2s9g00124,cm170s10g01235,CdeChr20g00037,vvi161s5g00179,gbi44s3g00741,sgi44s6g01588,afi61s272g00010,smo62s10g00190,ppa60s6g01322
atr42s2g02257,nc476s10g01583,ive11g00023,agr8s1g02629,spo4s6g00622,abr7s17g00970,da480s19g01949,ase9s2g03282,,aco40s14g00325,cs471s1g01219,afi49s1g04552,lc2s10g00013,cm170s10g01329,,vvi161s14g00004,gbi44s3g00335,sgi44s6g00230,,,
atr42s8g00162,,ive2g03256,agr8s11g01287,spo4s6g00511,abr7s17g01014,da480s18g01171,ase9s2g03350,elg3s8g00941,aco40s4g01051,cs471s2g01945,afi49s2g02212,lc2s4g00087,cm170s2g00983,,vvi161s6g00554,gbi44s4g01119,sgi44s4g01007,afi61s104g00060,smo62s4g00008,ppa60s14g01086
atr42s11g00678,nc476s13g00427,ive5g00219,agr8s6g01809,spo4s16g00044,abr7s20g00055,da480s14g00604,ase9s1g00649,,aco40s5g00828,,afi49s1g00541,lc2s18g00410,cm170s6g00013,CdeChr21g00098,vvi161s16g00194,,,,,
atr42s11g00393,nc476s13g00431,ive5g00332,agr8s9g00268,,abr7s20g00081,da480s4g00446,ase9s8g01631,elg3s2g00365,aco40s5g00812,,afi49s5g01161,lc2s12g00012,cm170s6g00665,CdeChr9g00393,vvi161s4g01512,,,,,
atr42s11g01395,nc476s1g01647,,agr8s9g00428,spo4s16g00100,abr7s20g00123,da480s4g00389,ase9s8g01463,elg3s2g00437,aco40s5g00787,cs471s14g00238,afi49s5g00823,lc2s12g00703,cm170s12g01181,,vvi161s18g00352,gbi44s4g01181,sgi44s1g04569,,smo62s175g00005,ppa60s2g00447
atr42s11g01791,nc476s1g00102,,agr8s6g00755,spo4s4g00948,abr7s20g00216,da480s14g00784,ase9s1g02595,elg3s2g00195,aco40s1g00768,,afi49s1g01661,lc2s4g01734,cm170s5g00187,CdeChr21g00199,vvi161s18g01120,gbi44s6g00602,sgi44s5g03201,afi61s76g00064,smo62s60g00138,ppa60s20g00972
atr42s6g02283,,ive5g01286,agr8s8g01816,spo4s10g00156,abr7s20g00291,da480s14g00831,ase9s5g00970,elg3s2g00106,aco40s5g00657,cs471s11g00068,afi49s1g03467,lc2s15g00637,cm170s4g02078,,vvi161s5g01570,,,afi61s1g00471,smo62s110g00082,ppa60s10g00637
atr42s6g02152,nc476s2g02790,,agr8s8g01751,spo4s16g00154,abr7s20g00334,da480s14g00859,ase9s1g01811,elg3s2g00066,aco40s5g00641,cs471s9g01277,afi49s5g01429,lc2s5g00464,cm170s1g00122,,vvi161s5g01444,gbi44s4g00122,sgi44s3g03669,afi61s4g00270,,ppa60s5g00539
atr42s6g02128,nc476s3g01464,ive1g03174,agr8s8g01730,,abr7s20g00341,da480s4g00159,ase9s8g00160,elg3s2g00057,aco40s5g00614,cs471s11g00143,afi49s5g01460,lc2s3g01329,cm170s1g00239,,vvi161s5g01475,,,,smo62s29g00155,ppa60s4g00372
atr42s12g01647,nc476s13g00695,ive13g00240,agr8s3g01791,spo4s4g00752,abr7s20g00374,da480s4g00154,ase9s1g01840,elg3s1g00481,aco40s13g00368,cs471s6g02065,afi49s1g00385,lc2s7g00537,cm170s4g01039,,,gbi44s7g01952,sgi44s9g03165,afi61s38g00011,smo62s10g00157,ppa60s1g01512
atr42s10g01935,,ive11g01347,agr8s7g01767,spo4s5g00805,abr7s20g00477,da480s16g00860,ase9s5g01393,,aco40s19g00143,cs471s2g00536,afi49s3g00098,lc2s17g00198,cm170s2g00933,CdeChr14g00393,vvi161s19g00532,gbi44s7g01618,sgi44s9g02574,afi61s272g00015,smo62s12g00321,ppa60s9g00827
atr42s10g01970,,,agr8s7g01661,spo4s11g00235,abr7s20g00500,da480s5g02282,ase9s3g01838,elg3s8g00976,aco40s19g00129,cs471s2g00504,afi49s3g00080,lc2s14g00171,cm170s11g00565,CdeChr3g00126,vvi161s19g00543,,,,,
atr42s10g02048,nc476s3g02140,ive11g01387,agr8s7g01628,spo4s11g00227,abr7s20g00521,da480s16g00900,ase9s5g00951,,aco40s12g00706,cs471s6g00822,afi49s3g00386,lc2s17g00120,cm170s2g00972,,vvi161s7g01182,,,,,
